{}
Date,Co./Last Name,Item Number,Description,Quantity,Price,Freight Amount,Invoice No.,Customer PO
1/07/2020,Chair Solutions - WA,SA380121B,SABABOND 3801 IN 21 KG KEG BLUE FOR PLUG N SPRAY\r\nCRL 696446 / 1219,126.000000,$11.5000,$335.00,20003058,449
1/07/2020,Chair Solutions - WA,SA3914,SABA ACTIVATOR 3914 IN 20 KG KEG FOR PLUG N SPRAY\r\nCRL 695706 / 1119,120.000000,$5.4000,$335.00,20003058,449
1/07/2020,Chair Solutions - WA,F 8008,"STAPLES 80 SERIES 8 MM PACKED 100,000 PCS / CARTON - PRICED PER THOUSAND",400.000000,$.3200,$335.00,20003058,449

1/07/2020,Bedco Pty Ltd,SA3801IBC,"SABABOND 3801 IN 1,100 KG IBC\r\nCRL 697587 / 0320",550.000000,$11.5000,$285.00,20003282,BOB

1/07/2020,Prestige Bedding,SA3801IBC,"SABABOND 3801 IN 1,100 KG IBC\r\nCRL 697587 / 0320",550.000000,$11.0000,$.00,20003283,NATASHA

1/07/2020,Allied Filter Fabrics,GB773292,NEEDLES DBX1/1738/16X257/71X1 90,100.000000,$.5000,$20.00,20003233,200265
1/07/2020,Allied Filter Fabrics,\,NEEDLES SCHMETZ CANU 20:05 130/21,100.000000,$.5500,$20.00,20003233,200265
1/07/2020,Allied Filter Fabrics,\,NEEDLES SCHMETZ CANU 37.20 130/21,60.000000,$1.0000,$20.00,20003233,200265

1/07/2020,Molmic Designing Comfort,SPT75101,"WINSPUN 75 10,000 M WT-101",10.000000,$10.0000,$.00,20003272,167045
1/07/2020,Molmic Designing Comfort,SPT75232,"WINSPUN 75 10,000 M WT-232",10.000000,$10.0000,$.00,20003272,167045
1/07/2020,Molmic Designing Comfort,SPT75817,"WINSPUN 75 10,000 M WT-817",10.000000,$10.0000,$.00,20003272,167045

1/07/2020,Global Shade & Sails,PTFE3000B,PTFE 3000D BLACK,2.200000,$220.0000,$20.00,20003241,STEVE
1/07/2020,Global Shade & Sails,PTFE3000W,PTFE 3000D WHITE,2.060000,$220.0000,$20.00,20003241,STEVE

1/07/2020,Multishade,PTFE3000B,PTFE 3000D BLACK,2.000000,$240.0000,$20.00,20003118,NICOLE

1/07/2020,ADA - Australian Defence Apparel P/L,NC85314,"CONEX 85/3 KAKIGOLD 5,000 M\r\nCRL 70982",24.000000,$60.0000,$.00,20002997,42733
1/07/2020,ADA - Australian Defence Apparel P/L,NM70314,"NOMEX 70/3 KAKIGOLD 5,000 M\r\nCRL P204095",58.000000,$75.0000,$.00,20002997,42733

