Date,Order Number,Item Number,QTY
04/05/2026,260504,SFW48 ABC CHAR,800.0
04/05/2026,260504,SFW50FY,2000.0
04/05/2026,260504,LMTS36 CHAR,20000.0
04/05/2026,260504,SFW38B,5000.0
04/05/2026,260504,WEBRG 25B,3000.0
04/05/2026,260504,WEBPP25B,30000.0
04/05/2026,260504,WEBPP50B,10000.0
04/05/2026,260504,ELBH 9B,4000.0
04/05/2026,260504,MTL36 MM2CAN,6000.0
04/05/2026,260504,ELKSF 25B,2000.0
04/05/2026,260504,ELKC 38W,5000.0
04/05/2026,260504,HBTP22 CHEST,20000.0
04/05/2026,260504,HBTP22 DUSTY,2000.0
04/05/2026,260504,MTL36 MM1,20000.0
04/05/2026,260504,HBTP15 BLACK,20000.0
