Status,Supplier,MYOB Purchase No,Order No,Item Number,Description,Original MYOB Qty,Packed Qty,Remaining Qty,Adjustment Qty,Source Rows,Line No,Note
OVERSUPPLY,Yuchang Textile Factory,00010530,10530,\CDL,LC 661 COMPLETE DOG LEADS 25 MM X 120 CM PERRICOOTA VET CLINIC,500.0,505.0,0,500.0,"129,131",25964,
OVERSUPPLY,Yuchang Textile Factory,00250702,250702,MTYC70736 B,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,5000.0,5800.0,0,5000.0,"24,25",24794,
MATCHED,Yuchang Textile Factory,00250809,250809,HBTP22 CHEST,POLYESTER HBT TAPE 22 MM CHESTNUT R2011,10000.0,10000.0,0,10000.0,26,25571,
OVERSUPPLY,Yuchang Textile Factory,00250812,250812,MT405083 SC,HANDLE TAPE MT4050 83 MM SHINY CHARCOAL (BLACK / FE0016),5000.0,5500.0,0,5000.0,111,23778,
MATCHED,Yuchang Textile Factory,00250829,250829,HBTP22 BLACK,POLYESTER HBT TAPE 22 MM BLACK,10000.0,10000.0,0,10000.0,27,25737,
MATCHED,Yuchang Textile Factory,00250905,250905,ZCC3BS,# 3 AUTO LOCK SLIDERS BLACK,3000.0,3000.0,0,3000.0,112,24110,
MATCHED,Yuchang Textile Factory,00250923,250923,MTSB36 BLACK,MATTRESS TAPE 36 MM BLACK ON SPOOLS (124028),18000.0,18000.0,0,18000.0,113,24306,
OVERSUPPLY,Yuchang Textile Factory,00251003,251003,WEBAS 50B,50 MM BLACK WEBBING WITH UV,2000.0,2350.0,0,2000.0,"114,115",24465,
MATCHED,Yuchang Textile Factory,00251011,251011,MT36 BLACK,MATTRESS TAPE 36 MM SOLID BLACK,30000.0,30000.0,0,30000.0,28,24479,
OVERSUPPLY,Yuchang Textile Factory,00251011,251011,WEBABC 100BRS,POLYESTER WEBBING 100 MM BLACK WITH RED T2016 STRIPE,1000.0,1450.0,0,1000.0,"116,117",25302,
MATCHED,Yuchang Textile Factory,00251022,251022,MT404336 STEEL,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,30000.0,30000.0,0,30000.0,30,24537,
OVERSUPPLY,Yuchang Textile Factory,00251022,251022,MTCH50 W,HANDLE TAPE 50 MM WHITE,20000.0,22000.0,0,20000.0,29,24536,
MATCHED,Yuchang Textile Factory,00251114,251114,MT404336 STEEL,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,45000.0,30000.0,15000.0,30000.0,118,24824,
MATCHED,Yuchang Textile Factory,00251117,251117,MTYC70736 B,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,3000.0,3000.0,0,3000.0,31,24843,
MATCHED,Yuchang Textile Factory,00251207,251207,MT400136 LG,MATTRESS TAPE MT4001 36 MM LIGHT GREY T2274 / T6315,81000.0,81000.0,0,81000.0,32,24946,
MATCHED,Yuchang Textile Factory,00251207,251207,MT404336 RS,MATTRESS TAPE MT4043 36 MM RIPPLE SILVER (X10775 / FE0005),81000.0,81000.0,0,81000.0,34,25762,
MATCHED,Yuchang Textile Factory,00251207,251207,MT405083 SG,HANDLE TAPE MT4050 83 MM SHINY GREY (T341 / FE0012),6000.0,3000.0,3000.0,3000.0,119,24944,
OVERSUPPLY,Yuchang Textile Factory,00251207,251207,MTCH50 W,HANDLE TAPE 50 MM WHITE,10000.0,10500.0,0,10000.0,33,24943,
OVERSUPPLY,Yuchang Textile Factory,00251211,251211,HBTP15 BLACK,POLYESTER HBT TAPE 15 MM BLACK,20000.0,22000.0,0,20000.0,35,25574,
MATCHED,Yuchang Textile Factory,00251215,251215,MT36 201 BEIGE,MATTRESS TAPE 36 MM 201 BEIGE,15000.0,15000.0,0,15000.0,120,26124,
MATCHED,Yuchang Textile Factory,00251215,251215,MT36 507 ROYAL,MATTRESS TAPE 36 MM 507 ROYAL,6000.0,6000.0,0,6000.0,39,25048,
MATCHED,Yuchang Textile Factory,00251215,251215,MTL36 MM1,MATTRESS TAPE MTL 36 MM MM1,10000.0,10000.0,0,10000.0,36,25043,
OVERSUPPLY,Yuchang Textile Factory,00251215,251215,MTS36 BT,MATTRESS TAPE MTS 36 MM BEIGE T297 / TAN T307 - NIMBUS,30000.0,34500.0,0,30000.0,37,25763,
MATCHED,Yuchang Textile Factory,00251215,251215,MTS36 NAVY,MATTRESS TAPE MTS 36 MM NAVY T1481,9000.0,9000.0,0,9000.0,38,25046,
OVERSUPPLY,Yuchang Textile Factory,251216 CS,251216 CS,MT402536 WD TB,MATTRESS TAPE MT4025 36 MM WITHOUT DIAMOND TAUPE T3748 / BROWN T5917,19500.0,20850.0,0,19500.0,"40,41",25575,
MATCHED,Yuchang Textile Factory,00260113,260113,SFW38B,SHADEFLEX WEBBING 38 MM BLACK,5000.0,5000.0,0,5000.0,126,25315,
OVERSUPPLY,Yuchang Textile Factory,00260124,260124,MT36 WHITE,MATTRESS TAPE 36 MM WHITE,15000.0,19500.0,0,15000.0,42,26137,
MATCHED,Yuchang Textile Factory,00260124,260124,V50WH,TOUCH TAPE 50 MM WHITE HOOK,100.0,100.0,0,100.0,43,25323,
MATCHED,Yuchang Textile Factory,00260124,260124,V50WL,TOUCH TAPE 50 MM WHITE LOOP,100.0,100.0,0,100.0,44,25322,
OVERSUPPLY,Yuchang Textile Factory,00260129,260129,ELW 25B,WOVEN ELASTIC 25 MM BLACK,2000.0,2900.0,0,2000.0,"46,47",25809,
MATCHED,Yuchang Textile Factory,00260129,260129,ELW 50B,WOVEN ELASTIC 50 MM BLACK,1000.0,1000.0,0,1000.0,127,25421,
OVERSUPPLY,Yuchang Textile Factory,00260129,260129,HBTPFR26 BLACK,POLYESTER HBT TAPE 26 MM BLACK R18433 - TRIPLE STIFFENER,30000.0,33000.0,0,30000.0,48,25423,
MATCHED,Yuchang Textile Factory,00260129,260129,LMTS36 CHAR,MATTRESS TAPE MTS 36 MM CHARCOAL LAYERED,50000.0,50000.0,0,50000.0,45,25418,
MATCHED,Yuchang Textile Factory,00260129,260129,MTS36 BLACK,MATTRESS TAPE MTS 36 MM BLACK,81000.0,81000.0,0,81000.0,49,25417,
OVERSUPPLY,Yuchang Textile Factory,00260129,260129,MTS36 DK SIL,MATTRESS TAPE MTS 36 MM DK SILVER,45000.0,46500.0,0,45000.0,50,25420,
MATCHED,Yuchang Textile Factory,00260129,260129,MTSB36 CHAR,MATTRESS TAPE 36 MM CHARCOAL T2055 ON SPOOLS (124032),36000.0,36000.0,0,36000.0,51,25419,
OVERSUPPLY,Yuchang Textile Factory,00260129,260129,SFW25B,SHADEFLEX WEBBING 25 MM BLACK,4000.0,5000.0,0,4000.0,52,25422,
MATCHED,Yuchang Textile Factory,00260129,260129,WEBS 13N,WEBBING POLYESTER 13 MM NATURAL,36000.0,18000.0,18000.0,18000.0,128,25415,
MATCHED,Yuchang Textile Factory,00260204,260204,MT404336 SLATE,MATTRESS TAPE MT4043 36 MM SLATE T41855 / FE0012,81000.0,81000.0,0,81000.0,53,25594,
MATCHED,Yuchang Textile Factory,00260204,260204,WEBPP50B,WEBBING POLY PROP 50 MM BLK UV,10000.0,10000.0,0,10000.0,54,25591,
MATCHED,Yuchang Textile Factory,00260213,260213,ELW 38W,WOVEN ELASTIC 38 MM WHITE,1500.0,1500.0,0,1500.0,55,25628,
OVERSUPPLY,Yuchang Textile Factory,260217 KEL,260217 KEL,WEBKEL2 25B,KELMATT POLYESTER JACQUARD WEBBING 25 MM BLACK WITH ORANGE LOGO AND SILVER LINES ON EDGES,3000.0,3850.0,0,3000.0,"56,57",25631,
MATCHED,Yuchang Textile Factory,260217 KEL,260217 KEL,WEBKEL2 32B,KELMATT POLYESTER JACQUARD WEBBING 32 MM BLACK WITH ORANGE LOGO AND SILVER LINES ON EDGES,15000.0,9000.0,6000.0,9000.0,58,25630,
MATCHED,Yuchang Textile Factory,00260224,260224,V100BH,TOUCH TAPE 100 MM BLACK HOOK,120.0,54.0,66.0,54.0,121,25651,
MATCHED,Yuchang Textile Factory,00260224,260224,V100BL,TOUCH TAPE 100 MM BLACK LOOP,180.0,120.0,60.0,120.0,122,25652,
MATCHED,Yuchang Textile Factory,00260224,260224,V50WH,TOUCH TAPE 50 MM WHITE HOOK,300.0,100.0,200.0,100.0,123,25650,
MATCHED,Yuchang Textile Factory,00260224,260224,V50WL,TOUCH TAPE 50 MM WHITE LOOP,300.0,100.0,200.0,100.0,124,25649,
MATCHED,Yuchang Textile Factory,00260224,260224,VA50BL,ADHESIVE TOUCH TAPE 50 MM BLACK LOOP,200.0,200.0,0,200.0,125,25648,
OVERSUPPLY,Yuchang Textile Factory,00260225,260225,ELKSR 25CH,KNITTED ELASTIC 25 MM CHARCOAL,2000.0,2800.0,0,2000.0,"60,61",25659,
