MYOB Purchase No,Supplier,Lines,Adjusted Lines,Zeroed Lines,Before Qty,After Qty,Qty Reduced,Empty/Delete Candidate
00010530,Yuchang Textile Factory,1,1,1,500.0,0,500.0,YES
00250702,Yuchang Textile Factory,1,1,1,5000.0,0,5000.0,YES
00250809,Yuchang Textile Factory,2,1,1,25000.0,15000.0,10000.0,NO
00250812,Yuchang Textile Factory,1,1,1,5000.0,0,5000.0,YES
00250829,Yuchang Textile Factory,2,1,1,17200.0,7200.0,10000.0,NO
00250905,Yuchang Textile Factory,2,1,1,13000.0,10000.0,3000.0,NO
00250923,Yuchang Textile Factory,1,1,1,18000.0,0,18000.0,YES
00251003,Yuchang Textile Factory,1,1,1,2000.0,0,2000.0,YES
00251011,Yuchang Textile Factory,2,2,2,31000.0,0,31000.0,YES
00251022,Yuchang Textile Factory,3,2,2,54000.0,4000.0,50000.0,NO
00251114,Yuchang Textile Factory,5,1,0,96500.0,66500.0,30000.0,NO
00251117,Yuchang Textile Factory,11,1,1,3460.0,460.0,3000.0,NO
00251207,Yuchang Textile Factory,7,4,3,228000.0,53000.0,175000.0,NO
00251211,Yuchang Textile Factory,18,1,1,32139.0,12139.0,20000.0,NO
00251215,Yuchang Textile Factory,11,5,5,304728.0,234728.0,70000.0,NO
00260124,Yuchang Textile Factory,5,3,3,30300.0,15100.0,15200.0,NO
00260129,Yuchang Textile Factory,12,9,8,340400.0,73400.0,267000.0,NO
00260204,Danfield Ltd.,14,2,2,375026.0,284026.0,91000.0,NO
00260213,Yuchang Textile Factory,3,1,1,5200.0,3700.0,1500.0,NO
00260224,Yuchang Textile Factory,5,5,1,1100.0,526.0,574.0,NO
00260225,Yuchang Textile Factory,9,4,4,171600.0,55000.0,116600.0,NO
00260226,Yuchang Textile Factory,15,4,3,368000.0,211000.0,157000.0,NO
00260311,Yuchang Textile Factory,11,1,1,258500.0,255500.0,3000.0,NO
00260327,Yuchang Textile Factory,10,5,5,30600.0,11100.0,19500.0,NO
00260331 #,Vietnam - TLNT,22,4,3,318790.0,112790.0,206000.0,NO
00260407,Yuchang Textile Factory,15,6,6,104000.0,40000.0,64000.0,NO
00260410,Yuchang Textile Factory,20,1,1,186600.0,184600.0,2000.0,NO
00260413,Schappe,15,2,2,160312.0,137312.0,23000.0,NO
251216 CS,Yuchang Textile Factory,1,1,1,19500.0,0,19500.0,YES
260113#,Changrui Interlining Manufacture (Shenzhen) Co Ltd,5,1,1,5380.0,380.0,5000.0,NO
260217 KEL,Yuchang Textile Factory,2,2,1,18000.0,6000.0,12000.0,NO
260303F,Yuchang Textile Factory,1,1,1,1000.0,0,1000.0,YES
260304 CS,Yuchang Textile Factory,3,3,3,34500.0,0,34500.0,YES
260318 WW,Yuchang Textile Factory,2,2,2,7500.0,0,7500.0,YES
260323 FS,Yuchang Textile Factory,4,1,0,294000.0,273000.0,21000.0,NO
260324 M,Yuchang Textile Factory,1,1,1,6000.0,0,6000.0,YES
260325MR,Yuchang Textile Factory,1,1,0,10500.0,300.0,10200.0,NO
260328 SL,Yuchang Textile Factory,1,1,0,64000.0,20000.0,44000.0,NO
260409SM,Yuchang Textile Factory,1,1,1,12000.0,0,12000.0,YES
