Line,Line Type,Order No,Item Number,Quantity,Description,Price,Status
1,HEADER,10530,\ON,0,O/NO 10530,$0.00,GROUP HEADER
2,ITEM,10530,\CDL,505.0,LC 661 COMPLETE DOG LEADS 25 MM X 120 CM PERRICOOTA VET CLINIC,$.88,OVERSUPPLY
3,HEADER,250702,\ON,0,O/NO 250702,$0.00,GROUP HEADER
4,ITEM,250702,MTYC70736 B,5800.0,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,$.1,OVERSUPPLY
5,HEADER,250809,\ON,0,O/NO 250809,$0.00,GROUP HEADER
6,ITEM,250809,HBTP22 CHEST,10000.0,POLYESTER HBT TAPE 22 MM CHESTNUT R2011,$.059,MATCHED
7,HEADER,250812,\ON,0,O/NO 250812,$0.00,GROUP HEADER
8,ITEM,250812,MT405083 SC,5500.0,HANDLE TAPE MT4050 83 MM SHINY CHARCOAL (BLACK / FE0016),$.262,OVERSUPPLY
9,HEADER,250829,\ON,0,O/NO 250829,$0.00,GROUP HEADER
10,ITEM,250829,HBTP22 BLACK,10000.0,POLYESTER HBT TAPE 22 MM BLACK,$.057,MATCHED
11,HEADER,250905,\ON,0,O/NO 250905,$0.00,GROUP HEADER
12,ITEM,250905,ZCC3BS,3000.0,# 3 AUTO LOCK SLIDERS BLACK,$.05,MATCHED
13,HEADER,250923,\ON,0,O/NO 250923,$0.00,GROUP HEADER
14,ITEM,250923,MTSB36 BLACK,18000.0,MATTRESS TAPE 36 MM BLACK ON SPOOLS (124028),$.06,MATCHED
15,HEADER,251003,\ON,0,O/NO 251003,$0.00,GROUP HEADER
16,ITEM,251003,WEBAS 50B,2350.0,50 MM BLACK WEBBING WITH UV,$.22,OVERSUPPLY
17,HEADER,251011,\ON,0,O/NO 251011,$0.00,GROUP HEADER
18,ITEM,251011,MT36 BLACK,30000.0,MATTRESS TAPE 36 MM SOLID BLACK,$.05,MATCHED
19,ITEM,251011,WEBABC 100BRS,1450.0,POLYESTER WEBBING 100 MM BLACK WITH RED T2016 STRIPE,$.48,OVERSUPPLY
20,HEADER,251022,\ON,0,O/NO 251022,$0.00,GROUP HEADER
21,ITEM,251022,MT404336 STEEL,30000.0,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,$.074,MATCHED
22,ITEM,251022,MTCH50 W,22000.0,HANDLE TAPE 50 MM WHITE,$.15,OVERSUPPLY
23,HEADER,251114,\ON,0,O/NO 251114,$0.00,GROUP HEADER
24,ITEM,251114,MT404336 STEEL,30000.0,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,$.074,MATCHED
25,HEADER,251117,\ON,0,O/NO 251117,$0.00,GROUP HEADER
26,ITEM,251117,MTYC70736 B,3000.0,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,$.1,MATCHED
27,HEADER,251207,\ON,0,O/NO 251207,$0.00,GROUP HEADER
