Source Row,Order No,Item Number,Supplier Item,Size,Colour,Labelled As,Qty,Packages,Net Weight,Gross Weight
24,250702,MTYC70736 B,Poly Mattress Tape,36 mm,Solid Black,MTYC707 - 36 MM,5000.0,5.0,73.0,76.5
25,250702,MTYC70736 B,Poly Mattress Tape,36 mm,Solid Black,MTYC707 - 36 MM,800.0,1.0,11.7,12.4
26,250809,HBTP22 CHEST,Polyester Tape,22 mm,Chestnut - R 2011,HBTP - 22 MM,10000.0,5.0,67.5,71.0
27,250829,HBTP22 BLACK,Polyester Tape,22 mm,Black,HBTP - 22 MM,10000.0,5.0,68.0,71.5
28,251011,MT36 BLACK,Poly Mattress Tape,36 mm,Solid Black,MT - 36 MM,30000.0,20.0,270.0,284.0
29,251022,MTCH50 W,Poly Handle Tape,50 mm,White,MTCH - 50 MM,22000.0,44.0,360.79999999999995,378.4
30,251022,MT404336 STEEL,Poly Mattress Tape,36 mm,X14756 / FE0012,MT4043 - 36 MM STEEL,30000.0,20.0,286.0,302.0
31,251117,MTYC70736 B,Poly Mattress Tape,36 mm,Solid Black,MTYC707 - 36 MM,3000.0,3.0,42.599999999999994,44.7
32,251207,MT400136 LG,Poly Mattress Tape,36 mm,T2274 / T6315 Light Grey,MT4001 - 36 MM Light Grey,81000.0,54.0,664.2,702.0
33,251207,MTCH50 W,Poly Handle Tape,50 mm,White,MTCH - 50 MM,10500.0,21.0,168.0,176.4
34,251207,MT404336 RS,Poly Mattress Tape,36 mm,X10775 / FE0005 (Ripple Silver),MT4043 - 36 MM RIPPLE SILVER,81000.0,54.0,777.6,820.8
35,251211,HBTP15 BLACK,Polyester Tape,15 mm,Black,HBTP - 15 MM,22000.0,11.0,110.0,117.69999999999999
36,251215,MTL36 MM1,Poly Mattress Tape,36 mm,MM1 Brown T867/Chocolate T638 E 70426,MTL - 36 MM,10000.0,10.0,139.0,146.0
37,251215,MTS36 BT,Poly Mattress Tape,36 mm,Beige T297 / Tan T307,MTS - 36 MM NIMBUS,34500.0,23.0,331.2,349.6
38,251215,MTS36 NAVY,Poly Mattress Tape,36 mm,Navy - T1481,MTS - 36 MM,9000.0,6.0,86.4,91.80000000000001
39,251215,MT36 507 ROYAL,Poly Mattress Tape,36 mm,Royal - 507,MT - 36 MM,6000.0,4.0,50.8,53.2
