Issue Type,Order No,Item Number,Packed Qty,MYOB Qty,Difference,Supplier Item,Colour,Notes
OVERSUPPLY,250702,MTYC70736 B,5800.0,5000.0,800.0,Poly Mattress Tape,Solid Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,251022,MTCH50 W,22000.0,20000.0,2000.0,Poly Handle Tape,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,251207,MTCH50 W,10500.0,10000.0,500.0,Poly Handle Tape,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,251211,HBTP15 BLACK,22000.0,20000.0,2000.0,Polyester Tape,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,251215,MTS36 BT,34500.0,30000.0,4500.0,Poly Mattress Tape,Beige T297 / Tan T307,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,251216 CS,MT402536 WD TB,20850.0,19500.0,1350.0,Poly Mattress Tape,Taupe T3748 with highlight colour Brown T5917,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260124,MT36 WHITE,19500.0,15000.0,4500.0,Poly Mattress Tape,White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260129,ELW 25B,2900.0,2000.0,900.0,PP + Poly Woven Elastic,Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260129,HBTPFR26 BLACK,33000.0,30000.0,3000.0,Polyester Tape -                 3 TIMES RUBBER,Black - R18433,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260129,MTS36 DK SIL,46500.0,45000.0,1500.0,Poly Mattress Tape,Dk Silver - A17748,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260129,SFW25B,5000.0,4000.0,1000.0,High Strength Poly Shadeflex Webbing,Dope - Dyed Black,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260217 KEL,WEBKEL2 25B,3850.0,3000.0,850.0,Polyester Jacquard Webbing,Silver T861 and Orange Pantone # 1655 Jacquard on Black with Silver T861 lines on edges,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260225,ELKSR 25CH,2800.0,2000.0,800.0,Polyester 37 Gauge Knitted Elastic,Charcoal - T1371,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260225,MTCS36 SWDKS,97500.0,81000.0,16500.0,Poly Mattress Tape,Shiny White / Dk Silver A17748,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
OVERSUPPLY,260225,MTYC70736 CW,32000.0,30000.0,2000.0,Poly Mattress Tape,Charcoal T2055 / Shiny White,Packed quantity is higher than MYOB quantity. Do not auto-adjust below zero.
