Price Check,Supplier,MYOB Purchase No,Order No,Item Number,Description,Invoice USD Unit,Invoice AUD Unit,MYOB AUD Unit,Difference AUD,Difference %,Invoice Qty,Packed Qty,Original MYOB Qty,Invoice Source Rows,Packing Source Rows,Note
PRICE ISSUE,Yuchang Textile Factory,00260224,260224,V100BH,TOUCH TAPE 100 MM BLACK HOOK,7.762,11.41471,9.5,1.91471,20.2%,54,54.0,120.0,122,121,Major price difference at 20.2% using exchange rate 0.68.
PRICE ISSUE,Yuchang Textile Factory,00260224,260224,V100BL,TOUCH TAPE 100 MM BLACK LOOP,7.762,11.41471,9.5,1.91471,20.2%,120,120.0,180.0,123,122,Major price difference at 20.2% using exchange rate 0.68.
PRICE OK,Yuchang Textile Factory,00010530,10530,\CDL,LC 661 COMPLETE DOG LEADS 25 MM X 120 CM PERRICOOTA VET CLINIC,0.52,0.76471,0.88,-0.11529,-13.1%,505,505.0,500.0,"130,132","129,131",Within threshold.
PRICE OK,Yuchang Textile Factory,00250702,250702,MTYC70736 B,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,0.0575,0.08456,0.1,-0.01544,-15.4%,5800,5800.0,5000.0,"25,26","24,25",Within threshold.
PRICE OK,Yuchang Textile Factory,00250809,250809,HBTP22 CHEST,POLYESTER HBT TAPE 22 MM CHESTNUT R2011,0.0322,0.04735,0.059,-0.01165,-19.7%,10000,10000.0,10000.0,27,26,Within threshold.
PRICE OK,Yuchang Textile Factory,00250812,250812,MT405083 SC,HANDLE TAPE MT4050 83 MM SHINY CHARCOAL (BLACK / FE0016),0.153,0.225,0.262,-0.037,-14.1%,5500,5500.0,5000.0,112,111,Within threshold.
PRICE OK,Yuchang Textile Factory,00250829,250829,HBTP22 BLACK,POLYESTER HBT TAPE 22 MM BLACK,0.0322,0.04735,0.057,-0.00965,-16.9%,10000,10000.0,10000.0,28,27,Within threshold.
PRICE OK,Yuchang Textile Factory,00250905,250905,ZCC3BS,# 3 AUTO LOCK SLIDERS BLACK,0.0291,0.04279,0.05,-0.00721,-14.4%,3000,3000.0,3000.0,113,112,Within threshold.
PRICE OK,Yuchang Textile Factory,00250923,250923,MTSB36 BLACK,MATTRESS TAPE 36 MM BLACK ON SPOOLS (124028),0.035,0.05147,0.06,-0.00853,-14.2%,18000,18000.0,18000.0,114,113,Within threshold.
PRICE OK,Yuchang Textile Factory,00251003,251003,WEBAS 50B,50 MM BLACK WEBBING WITH UV,0.12,0.17647,0.22,-0.04353,-19.8%,2350,2350.0,2000.0,"115,116","114,115",Within threshold.
PRICE OK,Yuchang Textile Factory,00251011,251011,MT36 BLACK,MATTRESS TAPE 36 MM SOLID BLACK,0.0295,0.04338,0.05,-0.00662,-13.2%,30000,30000.0,30000.0,29,28,Within threshold.
PRICE OK,Yuchang Textile Factory,00251011,251011,WEBABC 100BRS,POLYESTER WEBBING 100 MM BLACK WITH RED T2016 STRIPE,0.275,0.40441,0.48,-0.07559,-15.7%,1450,1450.0,1000.0,"117,118","116,117",Within threshold.
PRICE OK,Yuchang Textile Factory,00251022,251022,MT404336 STEEL,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,0.042,0.06176,0.074,-0.01224,-16.5%,30000,30000.0,30000.0,31,30,Within threshold.
